Year,Country,Value
2010,Canada,100
2011,Canada,103
2012,Canada,103
2013,Canada,106
2014,Canada,109
2015,Canada,108
2016,Canada,109
2017,Canada,110
2018,Canada,110
2019,Canada,111
2020,Canada,118
2021,Canada,114
2022,Canada,114
2023,Canada,114
2010,France,100
2011,France,102
2012,France,102
2013,France,103
2014,France,105
2015,France,107
2016,France,108
2017,France,109
2018,France,106
2019,France,107
2020,France,104
2021,France,102
2022,France,100
2023,France,98
2010,Germany,100
2011,Germany,103
2012,Germany,107
2013,Germany,107
2014,Germany,108
2015,Germany,109
2016,Germany,111
2017,Germany,112
2018,Germany,113
2019,Germany,117
2020,Germany,118
2021,Germany,118
2022,Germany,117
2023,Germany,115
2010,Italy,100
2011,Italy,102
2012,Italy,101
2013,Italy,102
2014,Italy,105
2015,Italy,106
2016,Italy,107
2017,Italy,108
2018,Italy,108
2019,Italy,110
2020,Italy,112
2021,Italy,114
2022,Italy,117
2023,Italy,115
2010,Spain,100
2011,Spain,101
2012,Spain,104
2013,Spain,105
2014,Spain,105
2015,Spain,107
2016,Spain,108
2017,Spain,110
2018,Spain,110
2019,Spain,112
2020,Spain,105
2021,Spain,110
2022,Spain,118
2023,Spain,120
2010,United Kingdom,100
2011,United Kingdom,102
2012,United Kingdom,100
2013,United Kingdom,98
2014,United Kingdom,101
2015,United Kingdom,98
2016,United Kingdom,97
2017,United Kingdom,99
2018,United Kingdom,99
2019,United Kingdom,97
2020,United Kingdom,91
2021,United Kingdom,100
2022,United Kingdom,98
2023,United Kingdom,97
