Country,Year,Sector,Value
Canada,1997,Agriculture,2.1
Canada,1997,Industry/Manufacturing,35.1
Canada,1997,Services,62.8
Canada,2008,Agriculture,1.8
Canada,2008,Industry/Manufacturing,35.5
Canada,2008,Services,62.7
Canada,2018,Agriculture,1.7
Canada,2018,Industry/Manufacturing,31.4
Canada,2018,Services,66.9
Germany,1997,Agriculture,1
Germany,1997,Industry/Manufacturing,37.9
Germany,1997,Services,61.1
Germany,2008,Agriculture,0.8
Germany,2008,Industry/Manufacturing,37
Germany,2008,Services,62.2
Germany,2018,Agriculture,0.7
Germany,2018,Industry/Manufacturing,37.2
Germany,2018,Services,62.1
Spain,1997,Agriculture,4.3
Spain,1997,Industry/Manufacturing,36.1
Spain,1997,Services,59.6
Spain,2008,Agriculture,2.4
Spain,2008,Industry/Manufacturing,34.1
Spain,2008,Services,63.5
Spain,2018,Agriculture,2.8
Spain,2018,Industry/Manufacturing,29.3
Spain,2018,Services,67.9
France,1997,Agriculture,2.3
France,1997,Industry/Manufacturing,32.3
France,1997,Services,65.4
France,2008,Agriculture,1.5
France,2008,Industry/Manufacturing,28.8
France,2008,Services,69.7
France,2018,Agriculture,1.6
France,2018,Industry/Manufacturing,28.3
France,2018,Services,70.1
United Kingdom,1997,Agriculture,1
United Kingdom,1997,Industry/Manufacturing,33.4
United Kingdom,1997,Services,65.6
United Kingdom,2008,Agriculture,0.7
United Kingdom,2008,Industry/Manufacturing,29.6
United Kingdom,2008,Services,69.7
United Kingdom,2018,Agriculture,0.6
United Kingdom,2018,Industry/Manufacturing,28.6
United Kingdom,2018,Services,70.9
Italy,1997,Agriculture,2.9
Italy,1997,Industry/Manufacturing,35.4
Italy,1997,Services,61.7
Italy,2008,Agriculture,1.9
Italy,2008,Industry/Manufacturing,33.4
Italy,2008,Services,64.7
Italy,2018,Agriculture,1.9
Italy,2018,Industry/Manufacturing,31.8
Italy,2018,Services,66.3
Japan,1997,Agriculture,1.5
Japan,1997,Industry/Manufacturing,34.3
Japan,1997,Services,64.2
Japan,2008,Agriculture,1.1
Japan,2008,Industry/Manufacturing,28.6
Japan,2008,Services,70.3
Japan,2018,Agriculture,1
Japan,2018,Industry/Manufacturing,29.6
Japan,2018,Services,69.4
United States,1997,Agriculture,1.3
United States,1997,Industry/Manufacturing,26.9
United States,1997,Services,71.8
United States,2008,Agriculture,1.1
United States,2008,Industry/Manufacturing,24.3
United States,2008,Services,74.6
United States,2018,Agriculture,0.9
United States,2018,Industry/Manufacturing,22.4
United States,2018,Services,76.7
